"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"genetic_determinism_01","Integer","","Recommended","I think the chief reason why parents and children are so alike in behavior and character is that they possess a shared genetic inheritance.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_02","Integer","","Recommended","In my opinion, alcoholism is caused primarily by genetic factors.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_03","Integer","","Recommended","I think that differences between men and women in behavior and personality are largely determined by genetic predisposition.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_04","Integer","","Recommended","I believe that children inherit many of their personal traits from their parents.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_05","Integer","","Recommended","In my view, the development of homosexuality in a person can be attributed to genetic causes.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_06","Integer","","Recommended","I am convinced that very few behavioral traits of humans can be traced back to their genes.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_07","Integer","","Recommended","I believe that many talents that individuals possess can be attributed to genetic causes.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_08","Integer","","Recommended","I think that the upbringing by parents and the social environment have far greater significance for the development of abilities and personal traits than genetic predispositions.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_09","Integer","","Recommended","I believe that many differences between humans of different skin color can be attributed to differences in genetic predispositions.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_10","Integer","","Recommended","I think that genetic predispositions have little influence on a person's personality characteristics.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_11","Integer","","Recommended","In my view, many forms of human behavior are biologically determined and can therefore be seen as instinctual.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_12","Integer","","Recommended","The fate of each person lies in his or her genes.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_13","Integer","","Recommended","I am of the opinion that intelligence is a trait that is strongly determined by genetic predispositions.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_14","Integer","","Recommended","I believe that genetic predispositions have no influence whatsoever on the development of intellectual abilities.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_15","Integer","","Recommended","I am convinced that the analysis of the genetic predispositions of an embryo allows good predictions as to which characteristic and abilities the child will develop.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_16","Integer","","Recommended","I think the genetic differences between Asians and Europeans are an important cause for the differences in abilities between individuals from these groups.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_17","Integer","","Recommended","I think that twins, because of the identical genetic predispositions, will be very similar in their behavior even if they were adopted and raised in different families.","1::7","1= Strongly disagree; 7= Strongly agree",""
"genetic_determinism_18","Integer","","Recommended","I believe that an analysis of my genetic predispositions will allow a trained scientist to predict many of my abilities and traits without having any personal knowledge of me.","1::7","1= Strongly disagree; 7= Strongly agree",""
